Getting T ready...
Inputs
Spurious whole dataset
data_root: /ocean/projects/asc170022p/shg121/PhD/ICLR-2022/data/spurious/waterbird_complete95_forest2water2
json_root: /ocean/projects/asc170022p/shg121/PhD/ICLR-2022/codebase/data_preprocessing
logs: /ocean/projects/asc170022p/shg121/PhD/ICLR-2022/log/spurious-cub-waterbird-landbird-224
checkpoints: /ocean/projects/asc170022p/shg121/PhD/ICLR-2022/checkpoints/spurious-cub-waterbird-landbird-224
checkpoint_file: g_best_model_epoch_99.pth.tar
output: /ocean/projects/asc170022p/shg121/PhD/ICLR-2022/out/spurious-cub-waterbird-landbird-224
attribute_file_name: attributes_spurious.npy
seed: 0
pretrained: True
dataset: cub
img_size: 224
bs: 16
lr: 0.001
epochs: 300
solver_LR: sgd
loss_LR: BCE
epochs_LR: 200
layer: layer4
flattening_type: adaptive
smoothing_value: 0.0
arch: ResNet101
concept_names: ['has_bill_shape_dagger', 'has_bill_shape_hooked_seabird', 'has_bill_shape_allpurpose', 'has_bill_shape_cone', 'has_wing_color_brown', 'has_wing_color_grey', 'has_wing_color_yellow', 'has_wing_color_black', 'has_wing_color_white', 'has_wing_color_buff', 'has_upperparts_color_brown', 'has_upperparts_color_grey', 'has_upperparts_color_yellow', 'has_upperparts_color_black', 'has_upperparts_color_white', 'has_upperparts_color_buff', 'has_underparts_color_brown', 'has_underparts_color_grey', 'has_underparts_color_yellow', 'has_underparts_color_black', 'has_underparts_color_white', 'has_underparts_color_buff', 'has_breast_pattern_solid', 'has_breast_pattern_striped', 'has_breast_pattern_multicolored', 'has_back_color_brown', 'has_back_color_grey', 'has_back_color_yellow', 'has_back_color_black', 'has_back_color_white', 'has_back_color_buff', 'has_tail_shape_notched_tail', 'has_upper_tail_color_brown', 'has_upper_tail_color_grey', 'has_upper_tail_color_black', 'has_upper_tail_color_white', 'has_upper_tail_color_buff', 'has_head_pattern_plain', 'has_head_pattern_capped', 'has_breast_color_brown', 'has_breast_color_grey', 'has_breast_color_yellow', 'has_breast_color_black', 'has_breast_color_white', 'has_breast_color_buff', 'has_throat_color_grey', 'has_throat_color_yellow', 'has_throat_color_black', 'has_throat_color_white', 'has_eye_color_black', 'has_bill_length_about_the_same_as_head', 'has_bill_length_shorter_than_head', 'has_forehead_color_blue', 'has_forehead_color_brown', 'has_forehead_color_grey', 'has_forehead_color_yellow', 'has_forehead_color_black', 'has_forehead_color_white', 'has_forehead_color_red', 'has_under_tail_color_brown', 'has_under_tail_color_grey', 'has_under_tail_color_yellow', 'has_under_tail_color_black', 'has_under_tail_color_white', 'has_under_tail_color_buff', 'has_nape_color_blue', 'has_nape_color_brown', 'has_nape_color_grey', 'has_nape_color_yellow', 'has_nape_color_black', 'has_nape_color_white', 'has_nape_color_buff', 'has_belly_color_grey', 'has_belly_color_yellow', 'has_belly_color_black', 'has_belly_color_white', 'has_belly_color_buff', 'has_wing_shape_roundedwings', 'has_size_small_5__9_in', 'has_size_medium_9__16_in', 'has_size_very_small_3__5_in', 'has_shape_perchinglike', 'has_back_pattern_solid', 'has_back_pattern_striped', 'has_back_pattern_multicolored', 'has_tail_pattern_solid', 'has_tail_pattern_multicolored', 'has_belly_pattern_solid', 'has_primary_color_brown', 'has_primary_color_grey', 'has_primary_color_yellow', 'has_primary_color_black', 'has_primary_color_white', 'has_primary_color_buff', 'has_leg_color_grey', 'has_leg_color_black', 'has_leg_color_buff', 'has_bill_color_grey', 'has_bill_color_black', 'has_crown_color_blue', 'has_crown_color_brown', 'has_crown_color_grey', 'has_crown_color_yellow', 'has_crown_color_black', 'has_crown_color_white', 'has_wing_pattern_solid', 'has_wing_pattern_striped', 'has_wing_pattern_multicolored', 'has_ocean', 'has_lake', 'has_bamboo', 'has_forest']
labels: ['0 (Landbird)', '1 (Waterbird)']
spurious_specific_classes: n
spurious_waterbird_landbird: y
projected: n
Device: cuda
BB is loaded from /ocean/projects/asc170022p/shg121/PhD/ICLR-2022/checkpoints/spurious-cub-waterbird-landbird-224/cub/BB/lr_0.001_epochs_300/ResNet101/g_best_model_epoch_99.pth.tar
Loading dataloader for waterbird-landbird
/ocean/projects/asc170022p/shg121/PhD/ICLR-2022/data/spurious/waterbird_complete95_forest2water2
(11788, 119)
Attr size: (11788, 112)
Time to load train-test-val datasets: 53.90732669830322 secs
################## TB Log path ###################
/ocean/projects/asc170022p/shg121/PhD/ICLR-2022/log/spurious-cub-waterbird-landbird-224/cub/t/lr_0.001_epochs_300_ResNet101_layer4_adaptive_sgd_BCE/Run(lr=0.001, now='2022-08-25-05H-48M-42S')
################## TB Log path ###################

####################### Statistics on dev set #########################
112
(5794, 112)
(5794, 112)
has_bill_shape_dagger: {'accuracy': 0.9196428571428571, 'precision': 0.5, 'recall': 0.3333333333333333, 'f1': 0.4}
has_bill_shape_hooked_seabird: {'accuracy': 0.9107142857142857, 'precision': 0.42857142857142855, 'recall': 0.3333333333333333, 'f1': 0.375}
has_bill_shape_allpurpose: {'accuracy': 0.9107142857142857, 'precision': 0.42857142857142855, 'recall': 0.3333333333333333, 'f1': 0.375}
has_bill_shape_cone: {'accuracy': 0.9285714285714286, 'precision': 0.6, 'recall': 0.3333333333333333, 'f1': 0.42857142857142855}
has_wing_color_brown: {'accuracy': 0.8928571428571429, 'precision': 0.36363636363636365, 'recall': 0.4444444444444444, 'f1': 0.39999999999999997}
has_wing_color_grey: {'accuracy': 0.9196428571428571, 'precision': 0.5, 'recall': 0.3333333333333333, 'f1': 0.4}
has_wing_color_yellow: {'accuracy': 0.9107142857142857, 'precision': 0.42857142857142855, 'recall': 0.3333333333333333, 'f1': 0.375}
has_wing_color_black: {'accuracy': 0.9017857142857143, 'precision': 0.4, 'recall': 0.4444444444444444, 'f1': 0.4210526315789474}
has_wing_color_white: {'accuracy': 0.9196428571428571, 'precision': 0.5, 'recall': 0.4444444444444444, 'f1': 0.47058823529411764}
has_wing_color_buff: {'accuracy': 0.9196428571428571, 'precision': 0.5, 'recall': 0.3333333333333333, 'f1': 0.4}
has_upperparts_color_brown: {'accuracy': 0.9017857142857143, 'precision': 0.375, 'recall': 0.3333333333333333, 'f1': 0.35294117647058826}
has_upperparts_color_grey: {'accuracy': 0.9375, 'precision': 0.6666666666666666, 'recall': 0.4444444444444444, 'f1': 0.5333333333333333}
has_upperparts_color_yellow: {'accuracy': 0.9107142857142857, 'precision': 0.42857142857142855, 'recall': 0.3333333333333333, 'f1': 0.375}
has_upperparts_color_black: {'accuracy': 0.9285714285714286, 'precision': 0.6, 'recall': 0.3333333333333333, 'f1': 0.42857142857142855}
has_upperparts_color_white: {'accuracy': 0.9017857142857143, 'precision': 0.375, 'recall': 0.3333333333333333, 'f1': 0.35294117647058826}
has_upperparts_color_buff: {'accuracy': 0.9017857142857143, 'precision': 0.375, 'recall': 0.3333333333333333, 'f1': 0.35294117647058826}
has_underparts_color_brown: {'accuracy': 0.9196428571428571, 'precision': 0.5, 'recall': 0.3333333333333333, 'f1': 0.4}
has_underparts_color_grey: {'accuracy': 0.9017857142857143, 'precision': 0.375, 'recall': 0.3333333333333333, 'f1': 0.35294117647058826}
has_underparts_color_yellow: {'accuracy': 0.9107142857142857, 'precision': 0.42857142857142855, 'recall': 0.3333333333333333, 'f1': 0.375}
has_underparts_color_black: {'accuracy': 0.9017857142857143, 'precision': 0.375, 'recall': 0.3333333333333333, 'f1': 0.35294117647058826}
has_underparts_color_white: {'accuracy': 0.9107142857142857, 'precision': 0.42857142857142855, 'recall': 0.3333333333333333, 'f1': 0.375}
has_underparts_color_buff: {'accuracy': 0.9196428571428571, 'precision': 0.5, 'recall': 0.3333333333333333, 'f1': 0.4}
has_breast_pattern_solid: {'accuracy': 0.9107142857142857, 'precision': 0.42857142857142855, 'recall': 0.3333333333333333, 'f1': 0.375}
has_breast_pattern_striped: {'accuracy': 0.9017857142857143, 'precision': 0.375, 'recall': 0.3333333333333333, 'f1': 0.35294117647058826}
has_breast_pattern_multicolored: {'accuracy': 0.9375, 'precision': 0.625, 'recall': 0.5555555555555556, 'f1': 0.5882352941176471}
has_back_color_brown: {'accuracy': 0.9107142857142857, 'precision': 0.42857142857142855, 'recall': 0.3333333333333333, 'f1': 0.375}
has_back_color_grey: {'accuracy': 0.9196428571428571, 'precision': 0.5, 'recall': 0.3333333333333333, 'f1': 0.4}
has_back_color_yellow: {'accuracy': 0.9017857142857143, 'precision': 0.375, 'recall': 0.3333333333333333, 'f1': 0.35294117647058826}
has_back_color_black: {'accuracy': 0.9017857142857143, 'precision': 0.375, 'recall': 0.3333333333333333, 'f1': 0.35294117647058826}
has_back_color_white: {'accuracy': 0.9107142857142857, 'precision': 0.42857142857142855, 'recall': 0.3333333333333333, 'f1': 0.375}
has_back_color_buff: {'accuracy': 0.8392857142857143, 'precision': 0.625, 'recall': 0.25, 'f1': 0.35714285714285715}
has_tail_shape_notched_tail: {'accuracy': 0.8303571428571429, 'precision': 0.5714285714285714, 'recall': 0.2, 'f1': 0.29629629629629634}
has_upper_tail_color_brown: {'accuracy': 0.8214285714285714, 'precision': 0.5, 'recall': 0.2, 'f1': 0.28571428571428575}
has_upper_tail_color_grey: {'accuracy': 0.8214285714285714, 'precision': 0.5, 'recall': 0.15, 'f1': 0.23076923076923075}
has_upper_tail_color_black: {'accuracy': 0.8214285714285714, 'precision': 0.5, 'recall': 0.15, 'f1': 0.23076923076923075}
has_upper_tail_color_white: {'accuracy': 0.8214285714285714, 'precision': 0.5, 'recall': 0.15, 'f1': 0.23076923076923075}
